,Disease,Symptom,Position,Age,Gen
0,http://ai.symptomchecking.org/condtion/Abdominal_aortic_aneurysm,"http://dbpedia.org/resource/Echocardiography, http://dbpedia.org/resource/Hospital, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Tobacco_smoking, http://dbpedia.org/resource/Achilles_tendon_rupture, http://dbpedia.org/resource/Disease, http://dbpedia.org/resource/United_Kingdom, http://dbpedia.org/resource/Consciousness, http://dbpedia.org/resource/Cancer_screening, http://dbpedia.org/resource/Overweight, http://dbpedia.org/resource/Endovascular_aneurysm_repair, http://dbpedia.org/resource/Medical_ultrasound, http://dbpedia.org/resource/Anti-aircraft_warfare, http://dbpedia.org/resource/Hypertension, http://dbpedia.org/resource/Abdominal_aortic_aneurysm, http://dbpedia.org/resource/Aneurysm, http://dbpedia.org/resource/Aortic_aneurysm, http://dbpedia.org/resource/Hypercholesterolemia, http://dbpedia.org/resource/Pain","http://dbpedia.org/resource/Abdomen, http://dbpedia.org/resource/Aorta, http://dbpedia.org/resource/Kidney, http://dbpedia.org/resource/Blood_vessel, http://dbpedia.org/resource/Heart",any,any
1,http://ai.symptomchecking.org/condtion/Acne,"http://dbpedia.org/resource/Testosterone, http://dbpedia.org/resource/Benzoyl_group, http://dbpedia.org/resource/Monosaccharide, http://dbpedia.org/resource/Isotretinoin, http://dbpedia.org/resource/Puberty, http://dbpedia.org/resource/Topical_medication, http://dbpedia.org/resource/Comedo, http://dbpedia.org/resource/Anxiety, http://dbpedia.org/resource/Genetics, http://dbpedia.org/resource/Carbohydrate, http://dbpedia.org/resource/Cutaneous_condition, http://dbpedia.org/resource/Combined_oral_contraceptive_pill, http://dbpedia.org/resource/Dieting, http://dbpedia.org/resource/Retinoid, http://dbpedia.org/resource/Oil, http://dbpedia.org/resource/Tobacco_smoking, http://dbpedia.org/resource/Western_world, http://dbpedia.org/resource/Antibiotics, http://dbpedia.org/resource/Bacteria, http://dbpedia.org/resource/Androgen, http://dbpedia.org/resource/Adolescence, http://dbpedia.org/resource/Rural_area, http://dbpedia.org/resource/Peroxide, http://dbpedia.org/resource/Acid, http://dbpedia.org/resource/Propionibacterium_acnes, http://dbpedia.org/resource/Sunburn, http://dbpedia.org/resource/Major_depressive_disorder, http://dbpedia.org/resource/Acne_vulgaris, http://dbpedia.org/resource/Suicide, http://dbpedia.org/resource/Infection","http://dbpedia.org/resource/Hair_follicle, http://dbpedia.org/resource/Skin",young,any
2,http://ai.symptomchecking.org/condtion/Acute_cholecystitis,"http://dbpedia.org/resource/Cholecystectomy, http://dbpedia.org/resource/Diabetes_mellitus, http://dbpedia.org/resource/Surgery, http://dbpedia.org/resource/Abdominal_ultrasonography, http://dbpedia.org/resource/Endoscopic_retrograde_cholangiopancreatography, http://dbpedia.org/resource/Greek_language, http://dbpedia.org/resource/Combined_oral_contraceptive_pill, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/Medical_laboratory, http://dbpedia.org/resource/Common_bile_duct_stone, http://dbpedia.org/resource/Antibiotics, http://dbpedia.org/resource/Risk, http://dbpedia.org/resource/Vomiting, http://dbpedia.org/resource/Native_Americans_in_the_United_States, http://dbpedia.org/resource/Pain, http://dbpedia.org/resource/Cholecystitis, http://dbpedia.org/resource/Weight_loss, http://dbpedia.org/resource/Pancreatitis, http://dbpedia.org/resource/Obesity, http://dbpedia.org/resource/Gallstone, http://dbpedia.org/resource/Fever, http://dbpedia.org/resource/Major_trauma, http://dbpedia.org/resource/Biliary_colic, http://dbpedia.org/resource/Pregnancy, http://dbpedia.org/resource/Vasculitis","http://dbpedia.org/resource/Epigastrium, http://dbpedia.org/resource/Bile_duct, http://dbpedia.org/resource/Gallbladder, http://dbpedia.org/resource/Liver, http://dbpedia.org/resource/Cystic_duct, http://dbpedia.org/resource/Common_bile_duct",any,any
3,http://ai.symptomchecking.org/condtion/Acute_lymphoblastic_leukaemia,"http://dbpedia.org/resource/Yellapragada_Subbarow, http://dbpedia.org/resource/Short_Time, http://dbpedia.org/resource/Hispanic, http://dbpedia.org/resource/Sidney_Farber, http://dbpedia.org/resource/Tachycardia, http://dbpedia.org/resource/Latin_America, http://dbpedia.org/resource/Methotrexate, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Caucasian_race, http://dbpedia.org/resource/Realis_mood, http://dbpedia.org/resource/Nuremberg_Code, http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Aminopterin, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/Pallor, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Anemia, http://dbpedia.org/resource/Headache, http://dbpedia.org/resource/Pneumonia, http://dbpedia.org/resource/Chest_pain, http://dbpedia.org/resource/B-cell_chronic_lymphocytic_leukemia, http://dbpedia.org/resource/Muscle_weakness, http://dbpedia.org/resource/Fever, http://dbpedia.org/resource/Cough, http://dbpedia.org/resource/Leukopenia, http://dbpedia.org/resource/Acute_lymphoblastic_leukemia, http://dbpedia.org/resource/Neutropenia","http://dbpedia.org/resource/Urinary_bladder, http://dbpedia.org/resource/Gastrointestinal_tract, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/Gastric_acid",young,any
4,http://ai.symptomchecking.org/condtion/Acute_lymphoblastic_leukaemia_Children,"http://dbpedia.org/resource/Methotrexate, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Pallor, http://dbpedia.org/resource/Sidney_Farber, http://dbpedia.org/resource/Hispanic, http://dbpedia.org/resource/Realis_mood, http://dbpedia.org/resource/Caucasian_race, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/Nuremberg_Code, http://dbpedia.org/resource/Short_Time, http://dbpedia.org/resource/Aminopterin, http://dbpedia.org/resource/Yellapragada_Subbarow, http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Tachycardia, http://dbpedia.org/resource/Latin_America, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/Chest_pain, http://dbpedia.org/resource/Leukopenia, http://dbpedia.org/resource/Headache, http://dbpedia.org/resource/Pneumonia, http://dbpedia.org/resource/Fever, http://dbpedia.org/resource/Muscle_weakness, http://dbpedia.org/resource/Neutropenia, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Cough, http://dbpedia.org/resource/B-cell_chronic_lymphocytic_leukemia, http://dbpedia.org/resource/Acute_lymphoblastic_leukemia, http://dbpedia.org/resource/Anemia","http://dbpedia.org/resource/Urinary_bladder, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/Gastrointestinal_tract, http://dbpedia.org/resource/Gastric_acid",young,any
5,http://ai.symptomchecking.org/condtion/Acute_lymphoblastic_leukaemia_Teenagers_and_young_adults,"http://dbpedia.org/resource/Sidney_Farber, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/Caucasian_race, http://dbpedia.org/resource/Realis_mood, http://dbpedia.org/resource/Aminopterin, http://dbpedia.org/resource/Short_Time, http://dbpedia.org/resource/Latin_America, http://dbpedia.org/resource/Pallor, http://dbpedia.org/resource/Methotrexate, http://dbpedia.org/resource/Tachycardia, http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Yellapragada_Subbarow, http://dbpedia.org/resource/Hispanic, http://dbpedia.org/resource/Nuremberg_Code, http://dbpedia.org/resource/Pneumonia, http://dbpedia.org/resource/B-cell_chronic_lymphocytic_leukemia, http://dbpedia.org/resource/Leukopenia, http://dbpedia.org/resource/Neutropenia, http://dbpedia.org/resource/Muscle_weakness, http://dbpedia.org/resource/Headache, http://dbpedia.org/resource/Fever, http://dbpedia.org/resource/Acute_lymphoblastic_leukemia, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Cough, http://dbpedia.org/resource/Chest_pain, http://dbpedia.org/resource/Anemia, http://dbpedia.org/resource/Infection","http://dbpedia.org/resource/Gastrointestinal_tract, http://dbpedia.org/resource/Gastric_acid, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/Urinary_bladder",young,any
6,http://ai.symptomchecking.org/condtion/Acute_myeloid_leukaemia,"http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Chromosome_abnormality, http://dbpedia.org/resource/Cellular_differentiation, http://dbpedia.org/resource/Bleeding, http://dbpedia.org/resource/Haematopoiesis, http://dbpedia.org/resource/Hematopoietic_stem_cell_transplantation, http://dbpedia.org/resource/Accounting, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/Heredity, http://dbpedia.org/resource/Rare_disease, http://dbpedia.org/resource/Anemia, http://dbpedia.org/resource/Chronic_myelogenous_leukemia, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Muscle_weakness, http://dbpedia.org/resource/Acute_myeloid_leukemia, http://dbpedia.org/resource/Cancer","http://dbpedia.org/resource/White_blood_cell, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/Myeloid_tissue, http://dbpedia.org/resource/Hematopoietic_stem_cell",any,any
7,http://ai.symptomchecking.org/condtion/Acute_myeloid_leukaemia_Children,"http://dbpedia.org/resource/Heredity, http://dbpedia.org/resource/Haematopoiesis, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/Accounting, http://dbpedia.org/resource/Bleeding, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Cellular_differentiation, http://dbpedia.org/resource/Chromosome_abnormality, http://dbpedia.org/resource/Hematopoietic_stem_cell_transplantation, http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Rare_disease, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/Anemia, http://dbpedia.org/resource/Muscle_weakness, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Acute_myeloid_leukemia, http://dbpedia.org/resource/Chronic_myelogenous_leukemia","http://dbpedia.org/resource/Myeloid_tissue, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/White_blood_cell, http://dbpedia.org/resource/Hematopoietic_stem_cell",any,any
8,http://ai.symptomchecking.org/condtion/Acute_myeloid_leukaemia_Teenagers_and_young_adults,"http://dbpedia.org/resource/Cellular_differentiation, http://dbpedia.org/resource/Chromosome_abnormality, http://dbpedia.org/resource/Haematopoiesis, http://dbpedia.org/resource/Thrombocytopenia, http://dbpedia.org/resource/United_States, http://dbpedia.org/resource/Chemotherapy, http://dbpedia.org/resource/Accounting, http://dbpedia.org/resource/Heredity, http://dbpedia.org/resource/Rare_disease, http://dbpedia.org/resource/Hematopoietic_stem_cell_transplantation, http://dbpedia.org/resource/Bleeding, http://dbpedia.org/resource/Cure, http://dbpedia.org/resource/Infection, http://dbpedia.org/resource/Acute_myeloid_leukemia, http://dbpedia.org/resource/Anemia, http://dbpedia.org/resource/Chronic_myelogenous_leukemia, http://dbpedia.org/resource/Cancer, http://dbpedia.org/resource/Muscle_weakness","http://dbpedia.org/resource/Hematopoietic_stem_cell, http://dbpedia.org/resource/Myeloid_tissue, http://dbpedia.org/resource/Bone_marrow, http://dbpedia.org/resource/White_blood_cell",any,any
9,http://ai.symptomchecking.org/condtion/Acute_pancreatitis,"http://dbpedia.org/resource/Intensive_care_unit, http://dbpedia.org/resource/Intravenous_therapy, http://dbpedia.org/resource/Surgery, http://dbpedia.org/resource/Fasting, http://dbpedia.org/resource/Mortality_rate, http://dbpedia.org/resource/Inflammation, http://dbpedia.org/resource/Necrosis, http://dbpedia.org/resource/Conservatism",http://dbpedia.org/resource/Pancreas,any,any
